poi_category,poi_lat,poi_lon
school,3.5583397936791914,101.64337541652485
school,3.055204183841305,101.58098812073533
school,3.0549412522867128,101.57526218507199
school,3.0549412522867128,101.57526218507199
school,3.0613359954748627,101.58557175478899
school,3.5007265077474425,101.63684688236431
school,3.501581095608493,101.63522274822544
school,3.164021268043958,101.84794716846514
school,2.780338152130673,101.45989305988614
school,3.0682298701849176,101.4872966934119
school,3.0336834390426044,101.53705541929729
school,3.434563460852603,101.69531266436871
school,3.045106974421937,101.64649881353532
school,2.833231945986043,101.53304112527633
school,2.8307050317433955,101.53580946235608
school,2.8262620246623134,101.53721507462043
school,2.859770967010024,101.67773971067429
school,2.8589147307759677,101.67797171156583
school,2.8552919930872336,101.67936661680424
school,2.864003512122904,101.67287649335914
school,2.8995554792163825,101.7058176523128
school,3.0842267784258683,101.60859753871651
school,3.0219350185170253,101.62864443569413
school,3.200518658480738,101.47208279525073
school,3.208767784899872,101.47070082131384
school,3.0852686608513706,101.61630877546794
school,2.922889048037347,101.71004569604689
school,3.638077239900966,101.5652585935832
school,2.6616315089422664,101.55749909662231
school,2.8424753737484996,101.44036021592721
school,2.823979582735892,101.50129626960455
school,2.8079277324859384,101.49737898231047
school,2.874987298819029,101.49637535757886
school,2.9068329155051122,101.46782424811472
school,3.7248094100437315,101.42889176001557
school,3.742332970212908,101.38404167593258
school,3.738623335821229,101.3808020213887
school,3.732755506710625,101.38407721933714
school,3.5639963017634773,101.4362619086606
school,3.0271210900668164,101.67845623347637
school,3.426357073994261,101.1719322692779
school,3.4006694276849427,101.17294562943239
school,3.260439996825008,101.31130782035076
school,3.3159813603097916,101.41587476242604
school,3.021372294501023,101.57337873836367
school,3.1467834401172126,101.61079710154895
school,3.0878976349242357,101.6211636549809
school,3.2541596205337653,101.66739295959472
school,3.2161171592554845,101.62524677859373
school,3.3232202248562404,101.54939465021818
school,3.318910353543813,101.58206673859063
school,3.2129532805844754,101.43150623183695
school,3.2110170591002882,101.43046682232264
school,3.246440072618689,101.42379295210243
school,3.245434194040229,101.42490803331329
school,3.226206418987289,101.42838589629567
school,3.2261174324997146,101.42630338854556
school,3.234030297856394,101.48517296491208
school,3.1785770404941935,101.45374935906699
school,3.217437357320916,101.61437388368142
school,3.0326051081895384,101.38030123562794
school,3.0305255906593507,101.37976228322584
school,3.028600325999117,101.38135550091944
school,3.063943243214175,101.42494589703577
school,3.0679446469701035,101.41101206252785
school,3.068579444012381,101.40985292414929
school,3.055903866066656,101.4079586606398
school,3.070383812211366,101.44366426474949
school,2.9670836115792074,101.84060818983744
school,3.588690836535989,101.60265475147693
school,3.581568417072446,101.53232487008856
school,3.6386830251413795,101.57235509082312
school,3.634605538954927,101.57014504042624
school,3.636499522742524,101.56493555250331
school,3.0460917836435817,101.74197386110201
school,3.5636786770286912,101.65213226113364
school,3.56282568548827,101.65373370622697
school,3.5480964937828494,101.67604388321504
school,3.0809285459251647,101.58635254046744
school,3.6641431855755826,101.53386721172977
school,3.670453057409103,101.52554015606488
school,3.6720536518842763,101.52230949695326
school,3.156815068262917,101.75971010541882
school,3.3311099874951804,101.52480738921398
school,3.136881444455077,101.76792486034108
school,3.136881444455077,101.76792486034108
school,3.2201059661029743,101.71525875075741
school,3.218702647520252,101.71559851285774
school,3.2156373929160944,101.71183950496798
school,3.211587198901662,101.75538863358763
school,3.0215283960994754,101.79233338083614
school,3.205843573706214,101.7473062480179
school,3.2208050362860607,101.74158842100334
school,3.1483465699962334,101.77245796459361
school,3.147735477460921,101.77439275280331
school,2.9490860773705574,101.84424087984154
school,3.1332818026164935,101.76789513461298
school,3.017531500861221,101.77981124232436
school,3.149272374581465,101.76403288665232
school,3.2253309219451882,101.74705911766368
school,2.9503557520675194,101.8447514050988
school,3.1409172512249506,101.76377677075173
school,3.242616406224166,101.69851836200674
school,3.2432647697098256,101.69831099973163
school,3.2336839333333334,101.69350346666666
school,2.9925586661327634,101.75255706026601
school,3.568380876241651,101.66330386064573
school,2.9267115915174293,101.84874559561595
school,3.287049330777595,101.47339540569709
school,3.286199873089189,101.47514691175293
school,3.003604733309285,101.42619651640084
school,2.9154107870998054,101.86225324713261
school,2.914148743895209,101.86289615568019
school,3.408929627689395,101.66082631652512
school,3.437444169946559,101.65537024342783
school,3.4379470284826232,101.6601094955549
school,3.467259093911661,101.64993477361182
school,3.241283487574511,101.67269023295059
school,3.242346482576151,101.67238399269766
school,3.243547839283716,101.67320822335061
school,3.2072825348562195,101.58129663356239
school,3.0539702241828897,101.52794111598183
school,3.0518099324625068,101.54041861129711
school,3.125520315213989,101.76187367555342
school,3.079566371694275,101.62830766661719
school,3.1466778530162007,101.76151968464963
school,3.1479408579503696,101.76340192326744
school,3.0777996413954387,101.52574973145364
school,3.0479145675412362,101.75093494123489
school,3.126767562460208,101.77289919633333
school,3.1262817284723723,101.77413653433328
school,3.17462423841272,101.58286370283069
school,3.0010196862494367,101.61273412709532
school,3.0625213644990246,101.46243928926782
school,3.061327079509137,101.46325466997232
school,3.046364725551704,101.4424560051975
school,3.204397531498985,101.58672073215189
school,2.8673332157595843,101.87118296674217
school,2.868387781345091,101.87139226389141
school,3.8049607397934495,100.8159627628389
school,3.762663566089692,100.9766453865323
school,3.696649022956112,100.9579375283669
school,3.7922844491615173,100.94907258954929
school,3.7957578214917063,100.95359250130683
school,3.753123389329438,100.95480017179035
school,3.752618534797053,100.95685259535821
school,3.753883134897628,100.95592305606135
school,3.757814020003798,100.92405697361806
school,2.934844350204181,101.55100695108274
school,2.9884057543079483,101.63961220781705
school,3.0066523727853514,101.66141767826451
school,3.0055036368538546,101.66126422671529
school,3.01104995,101.6726755
school,2.943946362069379,101.62157432094422
school,2.9405452792042897,101.62053406860419
school,2.9575838823183176,101.73048070306876
school,3.0105995463333213,101.727813260474
school,3.364202141177176,101.32182321556428
school,2.820142540080371,101.73485312912248
school,2.8262969391722192,101.70515769846024
school,2.953781617492944,101.83979041294106
school,3.129119044851285,101.59746289396944
school,3.1298960582291335,101.59855166494017
school,3.013630388578011,101.53221807075258
school,3.136353172786789,101.60670559601006
school,3.136353172786789,101.60670559601006
school,2.8271587000823155,101.4453539138888
school,2.8272981900777,101.44540285979082
school,2.8272634288621608,101.44561924040866
school,3.0439713575111065,101.64670627091697
school,3.1774517033425207,101.85554695286648
school,2.9396616776814324,101.61097736939979
school,3.109257505939629,101.7646605042889
school,3.063826095792192,101.45836179307116
school,3.0366639842255565,101.45249806216238
school,3.0335728608849024,101.43957247498327
school,3.3477535617791974,101.24394489121025
school,3.0680735128532026,101.44428114849315
school,3.0243892924542757,101.7817350276667
school,3.0244378549233732,101.77960974669178
school,2.983355753383596,101.61032383554422
school,2.9895286610400893,101.61104907075632
school,2.9815441835633156,101.61318641478476
school,3.0409920077592916,101.63064736322845
school,2.9670259864537445,101.79392002678883
school,2.8689934017339564,101.73191840931311
school,2.8700224355656574,101.7327646685614
school,2.9863980590390202,101.76807802644869
school,3.293138565254085,101.73193266533437
school,2.8202918998983426,101.45653974966436
school,3.707306637576817,101.73746468422686
school,3.1707641896291507,101.74359186395934
school,3.170477587285965,101.7422387216516
school,3.0983901280425643,101.40708222994732
school,2.9307125915561105,101.47606380732861
school,2.932192757076874,101.47596581809071
school,2.930252383928193,101.4744893849778
school,2.928364268296167,101.47462195139444
school,2.9732787115088173,101.51789173989168
school,2.988356568383587,101.53396891009518
school,2.9468924664257683,101.52884380479867
school,2.94510172413386,101.52975815211607
school,3.1243429276340233,101.7582275160056
school,3.136989836184316,101.73808981598262
school,3.136989836184316,101.73808981598262
school,3.1608893752044374,101.58716244171015
school,3.2067344910072255,101.74726339209826
school,3.0698683390593686,101.76869676248879
school,3.067101020421508,101.76931718361115
school,3.094070333354581,101.45429077370989
school,3.143435176624981,101.5346750165833
school,3.0132327985243124,101.70939733446396
school,3.0384973392566077,101.45348987992361
school,3.0383511924874718,101.4315156249118
school,3.047478786410014,101.45240815612848
school,3.0066132962087386,101.41252000860561
school,3.011589863884949,101.41974042509996
school,3.0728474563867154,101.41132828174868
school,3.13948453399759,101.37379831801503
school,3.0387309111942504,101.4195438144883
school,3.039607688757799,101.41862434949093
school,3.000296135201501,101.40098384881371
school,3.0010224375450134,101.40191418384299
school,3.0310446193366043,101.47553505565008
school,3.003026903149943,101.50471319955626
school,3.093007158244268,101.38445951759007
school,3.1338486622647936,101.3770130943909
school,3.135109385830053,101.37718554318764
school,3.166462410970154,101.42463747368828
school,3.137404522204594,101.4382941014877
school,3.137404522204594,101.4382941014877
school,2.9320871493437535,101.31935831801029
school,3.1340627213881436,101.34525835027102
school,3.0458268970197717,101.46128870514542
school,3.0169780908514356,101.40982426013142
school,3.005829808619255,101.42293812697558
school,3.0057536892020154,101.42171775883389
school,3.148920935103448,101.32765877242537
school,2.9786612741097733,101.42975680740588
school,2.9642960786748147,101.38546648905611
school,3.137041702796064,101.37141962037465
school,3.137041702796064,101.37141962037465
school,3.137385957683711,101.40828620823824
school,3.137385957683711,101.40828620823824
school,2.9931601766479883,101.42714451846867
school,3.0839650593049504,101.42168050180392
school,3.0830383488253483,101.42216290590717
school,3.02588846418514,101.46321786820684
school,3.0369098585991043,101.42988834738752
school,2.9834551627416315,101.54140200835194
school,2.9849758695824806,101.54108084465207
school,3.1001922757144458,101.38529072600049
school,2.9963437308008287,101.54741962466692
school,2.978113679402918,101.34538365531724
school,3.0114034202613738,101.43702224093222
school,3.0130434858117043,101.436362702486
school,3.2046113113962678,101.43435199161691
school,3.0569879726961546,101.46086943262544
school,3.0325387542449014,101.43815484335721
school,3.031623700032854,101.43763310886297
school,3.030894943632057,101.4385267893671
school,3.031961137364615,101.44013723490919
school,3.0579776684154054,101.45104543729373
school,3.054957057574747,101.44999386345192
school,3.054068952133126,101.44942918209304
school,3.0142181358573574,101.4070433282118
school,3.0090868393187624,101.40829566123774
school,3.0080031664113154,101.40742632457655
school,3.045756279685768,101.46001029894457
school,3.0454700944443993,101.45886477515187
school,3.0448147004823216,101.45772128305694
